fight_id,datetime,label,is_draw,red_id,red_kd,red_ss,red_ss_attempted,red_total,red_total_attempted,red_td,red_td_attempted,red_sub_attempted,red_control_min,red_control_sec,red_ss_head,red_ss_head_attempted,red_ss_body,red_ss_body_attempted,red_ss_leg,red_ss_leg_attempted,red_ss_distance,red_ss_distance_attempted,red_ss_clinch,red_ss_clinch_attempted,red_ss_ground,red_ss_ground_attempted,blue_id,blue_kd,blue_ss,blue_ss_attempted,blue_total,blue_total_attempted,blue_td,blue_td_attempted,blue_sub_attempted,blue_control_min,blue_control_sec,blue_ss_head,blue_ss_head_attempted,blue_ss_body,blue_ss_body_attempted,blue_ss_leg,blue_ss_leg_attempted,blue_ss_distance,blue_ss_distance_attempted,blue_ss_clinch,blue_ss_clinch_attempted,blue_ss_ground,blue_ss_ground_attempted
4563e02bc4c1a1ef,1177131600,1,0,d0d7160824278840,1,29,49,59.0,84.0,0.0,1.0,2.0,5.0,8.0,21.0,41.0,7.0,7,1.0,1,9,20,15.0,24.0,5.0,5.0,8caca5857ce0e30b,0.0,12.0,24.0,23.0,36.0,0.0,4.0,0.0,0.0,23.0,3.0,11.0,7.0,10.0,2.0,3.0,5.0,12.0,7.0,12.0,0.0,0.0
f20bd0b549e1a97d,1004680800,1,0,73c7cfa551289285,1,5,6,5.0,6.0,1.0,1.0,0.0,0.0,2.0,5.0,6.0,0.0,0,0.0,0,1,2,0.0,0.0,4.0,4.0,eb1723480fa2f96c,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62fbd9d089a9a306,1243054800,1,0,1fd4fbdcc67de844,2,8,12,8.0,12.0,0.0,0.0,0.0,0.0,10.0,8.0,12.0,0.0,0,0.0,0,2,3,3.0,3.0,3.0,6.0,ec33146e43e58933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36388dce4a8cc18f,1467954000,1,0,7d96bc577e5178b2,0,30,71,42.0,85.0,3.0,7.0,1.0,6.0,41.0,18.0,58.0,8.0,9,4.0,4,13,41,9.0,19.0,8.0,11.0,b8c0f30ee9a98b69,0.0,32.0,101.0,47.0,119.0,2.0,7.0,1.0,2.0,28.0,26.0,85.0,6.0,16.0,0.0,0.0,27.0,83.0,5.0,18.0,0.0,0.0
5d7c91acbcddda2f,1401512400,0,0,179f1948dc234f1f,0,3,9,3.0,9.0,0.0,6.0,0.0,0.0,12.0,2.0,8.0,0.0,0,1.0,1,3,9,0.0,0.0,0.0,0.0,232c582f29f8f65e,0.0,18.0,29.0,30.0,47.0,0.0,0.0,2.0,1.0,32.0,13.0,24.0,2.0,2.0,3.0,3.0,7.0,11.0,2.0,2.0,9.0,16.0
c5ba56d51f6b0171,1598677200,1,0,45f7cb591c3ab00b,0,34,60,65.0,99.0,2.0,2.0,2.0,2.0,8.0,16.0,41.0,1.0,2,17.0,17,28,54,0.0,0.0,6.0,6.0,ae071698e1a3ccd4,0.0,16.0,39.0,17.0,40.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,2.0,3.0,8.0,9.0,16.0,39.0,0.0,0.0,0.0,0.0
a8cf22bc7d05c0a1,1300510800,0,0,91186547a7f3f758,0,48,84,66.0,103.0,1.0,18.0,0.0,5.0,12.0,13.0,39.0,20.0,22,15.0,23,33,67,8.0,10.0,7.0,7.0,f5990c11974d8e9c,0.0,36.0,73.0,77.0,120.0,1.0,3.0,1.0,0.0,55.0,12.0,44.0,16.0,18.0,8.0,11.0,21.0,57.0,14.0,15.0,1.0,1.0
445d0d44091b902a,1566018000,1,0,a7897d200692ab64,1,50,101,120.0,180.0,3.0,6.0,0.0,6.0,21.0,46.0,96.0,1.0,1,3.0,4,42,89,0.0,0.0,8.0,12.0,cc351e408bbb7d43,0.0,77.0,187.0,114.0,231.0,1.0,1.0,0.0,0.0,24.0,32.0,126.0,17.0,20.0,28.0,41.0,62.0,163.0,4.0,6.0,11.0,18.0
1b23096378482313,1418450400,0,0,c5a126ace82a6025,0,4,9,5.0,12.0,1.0,1.0,0.0,0.0,26.0,4.0,8.0,0.0,1,0.0,0,0,2,0.0,0.0,4.0,7.0,d7adfcfdf7c6c1f8,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
56ba0c15cf501669,1033102800,1,0,d90b630e0561818b,0,17,58,17.0,58.0,0.0,3.0,0.0,0.0,11.0,13.0,53.0,3.0,3,1.0,2,17,57,0.0,1.0,0.0,0.0,b44f39a5c6596953,0.0,14.0,28.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,10.0,10.0,14.0,28.0,0.0,0.0,0.0,0.0
